Song Title;Streams;Daily
;;
Cruel Summer;1,801,103,195;4,544,709
Blank Space;1,732,606,127;1,120,628
 I Don’t Wanna Live Forever (Fifty Shades Darker);1,585,123,140;919,83
Anti-Hero;1,423,625,414;1,857,274
Shake It Off;1,332,889,439;808,243
Lover;1,260,079,733;1,906,897
cardigan;1,170,358,155;1,701,267
Style;1,143,959,787;810,209
Look What You Made Me Do;1,084,164,140;847,3
Don’t Blame Me;1,006,030,109;1,471,377
august;979,094,489;1,339,144
Delicate;923,041,820;808,029
Wildest Dreams;921,681,273;468,109
You Need To Calm Down;876,298,432;700,55
Love Story;849,425,062;441,777
ME! (feat. Brendon Urie of Panic! At The Disco);829,167,845;365,147
I Knew You Were Trouble.;794,547,820;476,825
willow;779,621,778;849,331
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);775,046,970;863,792
Enchanted;765,777,094;474,887
exile (feat. Bon Iver);705,459,241;723,977
The Man;692,607,624;874,307
Karma;690,232,085;1,176,661
Love Story (Taylor’s Version);667,100,145;1,062,657
...Ready For It?;659,979,436;880,224
Lavender Haze;659,203,012;662,643
Wildest Dreams (Taylor's Version);657,500,790;915,966
We Are Never Ever Getting Back Together;646,538,133;243,646
You Belong With Me;614,862,993;303,851
Getaway Car;607,929,396;813,124
Midnight Rain;603,750,739;730,25
Paper Rings;599,582,260;596,922
You Belong With Me (Taylor’s Version);576,129,463;969,978
Bad Blood;574,044,186;318,215
champagne problems;562,299,071;649,088
Gorgeous;560,778,312;434,401
the 1;529,548,785;606,234
You're On Your Own- Kid;525,513,479;781,171
Bejeweled;482,980,643;701,95
End Game;470,735,550;373,184
my tears ricochet;433,442,343;600,139
Maroon;424,979,125;406,07
I Did Something Bad;411,920,547;402,513
Snow On The Beach (feat. Lana Del Rey);406,937,459;296,859
mirrorball;383,725,336;479,698
The Way I Loved You (Taylor’s Version);381,040,344;395,767
Back To December;379,297,227;163,892
22;376,161,436;158,094
Call It What You Want;374,338,333;354,187
Vigilante Shit;362,294,289;456,312
illicit affairs;362,085,772;731,406
The Archer;359,745,225;557,458
this is me trying;357,212,345;494,196
Afterglow;352,420,198;363,782
Mr. Perfectly Fine (Taylor’s Version) (From The Vault);345,834,160;317,958
Daylight;344,543,262;632,184
invisible string;335,100,138;413,849
the last great american dynasty;335,004,105;385,217
Miss Americana & The Heartbreak Prince;332,465,370;566,972
All Of The Girls You Loved Before;324,932,338;484,89
betty;324,710,051;366,319
I Forgot That You Existed;321,135,182;201,35
Out Of The Woods;317,783,176;85,126
Our Song;314,988,426;326,283
Is It Over Now? (Taylor's Version) (From The Vault);312,625,283;1,542,555
Mastermind;312,320,702;407,213
I Knew You Were Trouble (Taylor's Version);309,104,501;537,143
London Boy;305,511,822;304,958
Cornelia Street;305,217,001;322,175
right where you left me - bonus track;297,037,973;503,015
Dress;294,755,483;369,84
We Are Never Ever Getting Back Together (Taylor's Version);293,421,283;513,44
seven;286,187,232;316,317
Question...?;280,866,170;225,905
tolerate it;278,372,688;483,204
Lover (Remix) [feat. Shawn Mendes];275,593,772;162,653
New Romantics;271,147,592;109,725
gold rush;268,986,609;244,426
Everything Has Changed;268,955,394;64,464
Death By A Thousand Cuts;268,396,100;245,953
Red (Taylor's Version);262,400,530;346,421
The Great War;257,804,169;289,474
no body- no crime (feat. HAIM);257,150,517;237,92
I Think He Knows;256,641,808;235,435
Sweet Nothing;254,236,632;271,045
Fearless (Taylor’s Version);253,918,047;525,218
Labyrinth;252,095,853;295,448
King Of My Heart;249,721,640;268,405
‘tis the damn season;248,928,328;302,577
Red;248,400,642;80,325
22 (Taylor's Version);246,558,115;449,762
Would've- Could've- Should've;246,051,028;318,309
All Too Well;242,453,474;60,75
Welcome To New York;241,770,514;83,961
All Too Well (Taylor's Version);239,275,680;250,17
Dancing With Our Hands Tied;232,978,139;237,818
Safe & Sound - from The Hunger Games Soundtrack;228,798,920;53,433
Enchanted (Taylor's Version);226,028,082;721,043
This Love (Taylor’s Version);225,424,744;328,807
Mean;224,115,927;70,508
 Highway Don't Care;220,831,814;103,285
I Can See You (Taylor’s Version) (From The Vault);218,341,270;386,75
Mine;218,062,445;65,411
All You Had To Do Was Stay;216,400,193;47,174
False God;214,803,995;253,799
Now That We Don't Talk (Taylor's Version) (From The Vault);209,909,845;841,743
This Is Why We Can't Have Nice Things;206,935,476;199,838
Teardrops On My Guitar - Radio Single Remix;204,836,294;135,978
ivy;202,493,962;235,086
Slut! (Taylor's Version) (From The Vault);201,863,159;928,329
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault);200,974,718;229,08
mad woman;199,191,795;198,731
evermore (feat. Bon Iver);199,022,162;227,616
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault);198,898,011;184,674
peace;194,339,774;205,212
marjorie;192,358,005;339,335
Clean;191,722,276;49,134
Better Than Revenge;187,379,413;72,867
long story short;182,636,293;181,823
New Year’s Day;181,380,908;205,316
Picture To Burn;181,216,929;164,716
Message In A Bottle (Taylor's Version) (From The Vault);179,063,527;147,022
Sparks Fly;177,724,764;54,112
Christmas Tree Farm;177,428,081;27,491
Bad Blood;175,880,338;101,289
happiness;173,860,077;170,592
hoax;173,470,302;176,128
epiphany;172,657,603;160,636
cowboy like me;172,390,856;200,195
 The Joker And The Queen (feat. Taylor Swift);172,298,895;116,363
Paris;169,100,744;177,457
So It Goes...;168,791,200;178,007
Bigger Than The Whole Sky;167,968,894;200,322
coney island (feat. The National);167,680,971;179,557
How You Get The Girl;166,131,596;49,047
Back To December (Taylor's Version);163,729,385;405,059
